category,total_sales,sales_rank
beleza_saude,1441248.07,1
relogios_presentes,1305541.61,2
cama_mesa_banho,1241681.72,3
esporte_lazer,1156656.48,4
informatica_acessorios,1059272.4,5
moveis_decoracao,902511.79,6
utilidades_domesticas,778397.77,7
cool_stuff,719329.95,8
automotivo,685384.32,9
ferramentas_jardim,584219.21,10
brinquedos,561372.55,11
bebes,480118.0,12
perfumaria,453338.71,13
telefonia,394883.32,14
moveis_escritorio,342532.65,15
papelaria,277741.71,16
pet_shop,253876.65,17
pcs,232799.43,18
instrumentos_musicais,210137.37,19
Unknown,207705.09,20
eletronicos,206825.06,21
eletroportateis,206668.83,22
fashion_bolsas_e_acessorios,184273.54,23
consoles_games,177293.24,24
malas_acessorios,170875.21,25
construcao_ferramentas_construcao,165328.0,26
eletrodomesticos_2,123917.92,27
casa_construcao,96920.36,28
eletrodomesticos,94990.43,29
moveis_sala,86884.73,30
agro_industria_e_comercio,78374.07,31
casa_conforto,67073.27,32
telefonia_fixa,64220.81,33
climatizacao,61774.19,34
moveis_cozinha_area_de_servico_jantar_e_jardim,58327.8,35
audio,56398.94,36
livros_interesse_geral,56052.4,37
portateis_casa_forno_e_cafe,50193.57,38
construcao_ferramentas_iluminacao,48663.8,39
industria_comercio_e_negocios,47554.29,40
construcao_ferramentas_seguranca,44463.62,41
alimentos,36664.44,42
market_place,33834.53,43
construcao_ferramentas_jardim,31027.29,44
fashion_calcados,28481.64,45
artes,28247.81,46
bebidas,28169.95,47
sinalizacao_e_seguranca,28017.05,48
moveis_quarto,24661.01,49
livros_tecnicos,23379.12,50
alimentos_bebidas,19687.47,51
construcao_ferramentas_ferramentas,17934.17,52
fashion_roupa_masculina,12950.23,53
artigos_de_natal,12030.12,54
fashion_underwear_e_moda_praia,11457.74,55
tablets_impressao_imagem,8754.61,56
cine_foto,8189.66,57
dvds_blu_ray,7288.13,58
musica,6724.86,59
moveis_colchao_e_estofado,5998.54,60
livros_importados,5409.7,61
artigos_de_festas,5313.15,62
portateis_cozinha_e_preparadores_de_alimentos,4278.29,63
fashion_roupa_feminina,3425.39,64
fashion_esporte,2697.64,65
la_cuisine,2388.54,66
artes_e_artesanato,2184.14,67
fraldas_higiene,2141.27,68
pc_gamer,1679.52,69
flores,1598.91,70
casa_conforto_2,1170.58,71
cds_dvds_musicais,954.99,72
fashion_roupa_infanto_juvenil,665.36,73
seguros_e_servicos,324.51,74
