category,items_sold,orders,total_sales
beleza_saude,9670,8836,1441248.07
relogios_presentes,5991,5624,1305541.61
cama_mesa_banho,11115,9417,1241681.72
esporte_lazer,8641,7720,1156656.48
informatica_acessorios,7827,6689,1059272.4
moveis_decoracao,8334,6449,902511.79
utilidades_domesticas,6964,5884,778397.77
cool_stuff,3796,3632,719329.95
automotivo,4235,3897,685384.32
ferramentas_jardim,4347,3518,584219.21
brinquedos,4117,3886,561372.55
bebes,3065,2885,480118.0
perfumaria,3419,3162,453338.71
telefonia,4545,4199,394883.32
moveis_escritorio,1691,1273,342532.65
papelaria,2517,2311,277741.71
pet_shop,1947,1710,253876.65
pcs,203,181,232799.43
instrumentos_musicais,680,628,210137.37
Unknown,1603,1451,207705.09
eletronicos,2767,2550,206825.06
eletroportateis,679,630,206668.83
fashion_bolsas_e_acessorios,2031,1864,184273.54
consoles_games,1137,1062,177293.24
malas_acessorios,1092,1034,170875.21
construcao_ferramentas_construcao,929,748,165328.0
eletrodomesticos_2,238,234,123917.92
casa_construcao,604,490,96920.36
eletrodomesticos,771,764,94990.43
moveis_sala,503,422,86884.73
agro_industria_e_comercio,212,182,78374.07
casa_conforto,434,397,67073.27
telefonia_fixa,264,217,64220.81
climatizacao,297,253,61774.19
moveis_cozinha_area_de_servico_jantar_e_jardim,281,248,58327.8
audio,364,350,56398.94
livros_interesse_geral,553,512,56052.4
portateis_casa_forno_e_cafe,76,75,50193.57
construcao_ferramentas_iluminacao,304,244,48663.8
industria_comercio_e_negocios,268,235,47554.29
construcao_ferramentas_seguranca,194,167,44463.62
alimentos,510,450,36664.44
market_place,311,280,33834.53
construcao_ferramentas_jardim,238,194,31027.29
fashion_calcados,262,240,28481.64
artes,209,202,28247.81
bebidas,379,297,28169.95
sinalizacao_e_seguranca,199,140,28017.05
moveis_quarto,109,95,24661.01
livros_tecnicos,267,260,23379.12
alimentos_bebidas,278,227,19687.47
construcao_ferramentas_ferramentas,103,97,17934.17
fashion_roupa_masculina,132,112,12950.23
artigos_de_natal,153,128,12030.12
fashion_underwear_e_moda_praia,131,121,11457.74
tablets_impressao_imagem,83,79,8754.61
cine_foto,72,65,8189.66
dvds_blu_ray,64,59,7288.13
musica,38,38,6724.86
moveis_colchao_e_estofado,38,38,5998.54
livros_importados,60,53,5409.7
artigos_de_festas,43,39,5313.15
portateis_cozinha_e_preparadores_de_alimentos,15,14,4278.29
fashion_roupa_feminina,48,39,3425.39
fashion_esporte,30,27,2697.64
la_cuisine,14,13,2388.54
artes_e_artesanato,24,23,2184.14
fraldas_higiene,39,27,2141.27
pc_gamer,9,8,1679.52
flores,33,29,1598.91
casa_conforto_2,30,24,1170.58
cds_dvds_musicais,14,12,954.99
fashion_roupa_infanto_juvenil,8,8,665.36
seguros_e_servicos,2,2,324.51
