year,month,month_name,items_sold,total_sales
2016,9,September,6,354.75
2016,10,October,363,56808.84
2016,12,December,1,19.62
2017,1,January,955,137188.49
2017,2,February,1951,286280.62
2017,3,March,3000,432048.59
2017,4,April,2684,412422.24
2017,5,May,4136,586190.95
2017,6,June,3583,502963.04
2017,7,July,4519,584971.62
2017,8,August,4910,668204.6
2017,9,September,4831,720398.91
2017,10,October,5322,769312.37
2017,11,November,8665,1179143.77
2017,12,December,6308,863547.23
2018,1,January,8208,1107301.89
2018,2,February,7672,986908.96
2018,3,March,8217,1155126.82
2018,4,April,7975,1159698.04
2018,5,May,7925,1149781.82
2018,6,June,7078,1022677.11
2018,7,July,7092,1058728.03
2018,8,August,7248,1003308.47
2018,9,September,1,166.46
