customer_state,customers,items_sold,total_sales
SP,41375,47449,5921678.12
RJ,12762,14579,2129681.98
MG,11544,13129,1856161.49
RS,5432,6235,885826.76
PR,4998,5740,800935.44
BA,3358,3799,611506.67
SC,3612,4176,610213.6
DF,2125,2406,353229.44
GO,2007,2333,347706.93
ES,2025,2256,324801.91
PE,1648,1806,322237.69
CE,1327,1478,275606.3
PA,970,1080,217647.11
MT,903,1055,186168.96
MA,740,824,151171.99
PB,532,602,140987.81
MS,709,819,135956.67
PI,493,542,108132.28
RN,482,529,101895.08
AL,411,444,96229.4
SE,345,385,73032.32
TO,279,315,61354.42
RO,247,278,57558.02
AM,147,165,27835.73
AC,81,92,19669.7
AP,68,82,16262.8
RR,46,52,10064.62
