product_id,category,items_sold,orders,total_sales
bb50f2e236e5eea0100680137654686c,beleza_saude,195,187,67606.1
d1c427060a0f73f6b889a5c7c61f2ac4,informatica_acessorios,343,323,60976.03
6cdd53843498f92890544667809f1595,beleza_saude,156,151,59093.99
99a4788cb24856965c36a24e339b6058,cama_mesa_banho,488,467,51071.6
d6160fb7873f184099d9bc95e30376af,pcs,35,35,50326.18
3dd2a17168ec895c781a9191c1e95ad7,informatica_acessorios,274,255,48212.22
aca2eb7d00ea1a7b8ebd4e68314663af,moveis_decoracao,527,431,44820.76
5f504b3a1c75b73d6151be81eb05bdc9,cool_stuff,63,63,41725.81
25c38557cf793876c5abdd5931f922db,bebes,38,38,40311.95
53b36df67ebb7c41585e8d54d6772e08,relogios_presentes,323,306,39957.93
e0d64dcfaa3b6db5c54ca298ae101d05,relogios_presentes,194,194,35344.09
422879e10f46682990de24d770e7f83d,ferramentas_jardim,484,352,34201.26
d285360f29ac7fd97640bf0baef03de0,relogios_presentes,123,122,33607.57
f1c7f353075ce59d8a6f3cf58f419c9c,cama_mesa_banho,154,150,33316.76
7a10781637204d8d10485c71a6108a2e,relogios_presentes,143,142,32790.74
f819f0c84a64f02d3a5606ca95edd272,relogios_presentes,45,45,30449.69
588531f8ec37e7d5ff5b7b22ea0488f8,pcs,20,19,29080.21
389d119b48cf3043d311335e499d9c6b,ferramentas_jardim,392,311,28682.68
a62e25e09e05e6faf31d90c6ec1aa3d1,relogios_presentes,226,172,27998.3
368c6c730842d78016ad823897a372db,ferramentas_jardim,388,291,27984.4
