seller_id,seller_city,seller_state,items_sold,orders,total_sales
4869f7a5dfa277a7dca6462dcf3b52b2,guariba,SP,1156,1132,249640.7
7c67e1448b00f6e969d365cea6b010ab,itaquaquecetuba,SP,1364,982,239536.44
53243585a1d6dc2643021fd1853d8905,lauro de freitas,BA,410,358,235856.68
4a3ca9315b744ce9f8e9374361493884,ibitinga,SP,1987,1806,235539.96
fa1c13f2614d7b5c4749cbc52fecda94,sumare,SP,586,585,204084.73
da8622b14eb17ae2831f4ac5b9dab84a,piracicaba,SP,1551,1314,185192.32
7e93a43ef30c4f03f38b393420bc753a,barueri,SP,340,336,182754.05
1025f0e2d44d7041d6cf58b6550e0bfa,sao paulo,SP,1428,915,172860.69
7a67c85e85bb2ce8582c35f2203ad736,sao paulo,SP,1171,1160,162648.38
955fee9216a65b617aa5c0531780ce60,sao paulo,SP,1499,1287,160602.68
6560211a19b47992c3666cc44a7e94c0,sao paulo,SP,2033,1854,151265.77
1f50f920176fa81dab994f9023523100,sao jose do rio preto,SP,1931,1404,142104.98
46dc3b2cc0980fb8ec44634e21d2718e,rio de janeiro,RJ,542,521,139909.69
a1043bafd471dff536d0c462352beb48,ilicinea,MG,770,718,133745.25
cc419e0650a3c5ba77189a1882b7556a,santo andre,SP,1775,1706,129957.41
620c87c171fb2a6dd6e8bb4dec959fc6,petropolis,RJ,798,740,128909.71
5dceca129747e92ff8ef7a997dc4f8ca,santa barbara d´oeste,SP,346,325,125816.92
7d13fca15225358621be4086e1eb0964,ribeirao preto,SP,578,565,122261.02
3d871de0142ce09b7081e2b9d1733cb1,campo limpo paulista,SP,1147,1080,117347.71
edb1ef5e36e0c8cd84eb3c9b003e486d,teresopolis,RJ,175,166,83189.65
